,titre_film,utilisateur_note,genres_liste,duree,id_film,nbre_utilisateur_note,date_sortie,date_ext
7406,Wesalna wela b'adna?,6.3,Comedy,80,tt7991818,12,(2018),"February 22, 2018"
7407,Pelucas y Rokanrol,5.8,Comedy,,tt10515182,21,(2018),"August 23, 2018"
7408,"Wander and Burn, the Endless Stars",,Drama,180,tt5207146,,(2018),"September 9, 2018"
7409,Uta Monogatari: Cinema Fighters Project,,Drama,97,tt10786026,,(2018),"June 22, 2018"
7410,Holy Hierarchy: The Religious Roots of Racism in America,7.1,History,82,tt7708908,13,(2018),"July 27, 2018"
7411,Republic of Food,7.5,Comedy,100,tt8762202,6,(2018),"July 27, 2018"
7412,Dr Prasad c/o sitara,,Comedy  Horror  Thriller,97,tt10066396,,(2018),"January 1, 2018"
7413,Friendship Band,,Crime,,tt8142082,,(2018),"February 23, 2018"
7414,Chhattisgarh - A Numismatic History,,History,,tt8620668,,(2018),"August 17, 2018"
7415,Deja la luz prendida,,Drama,83,tt7073468,,(2018),"September 6, 2018"
7416,La entrevista,5.6,Thriller,,tt6962028,31,(2018),"May 30, 2018"
7417,Ruby,,Action  Thriller,45,tt7906116,,(I) (2018),"May 30, 2018"
7418,The New World Horror,5.8,Adventure  Comedy  Horror,90,tt5355890,16,(2018),"April 8, 2018"
7419,I Am A Spy: Istanbul,,Drama,45,tt9061468,,(2018),"April 8, 2018"
7420,Petualangan Menangkap Petir,7.1,Adventure  Comedy  Drama,93,tt8065816,39,(2018),"August 30, 2018"
7421,Zohak,2.3,Horror,88,tt8495546,166,(2018),"June 8, 2018"
7422,Stay,,Drama  Romance,87,tt10028708,,(IX) (2018),"April 3, 2019"
7423,Oxygen,,,,tt8396234,,(II) (2018),"April 3, 2019"
7424,Nivuru,,Drama,132,tt8784858,,(2018),"April 3, 2019"
7425,My Deadly Playmate,1.6,Horror,91,tt8969962,15,(2018),"April 3, 2019"
7426,El nuevo orden,,Horror,45,tt8043354,,(2018),"January 19, 2018"
7427,Silent Love Stories: Heart Beat,,Drama  Music  Musical,117,tt9018596,,(2018),"October 5, 2018"
